node_id,zone_id,x_coord,y_coord
424,424,-77.18893008823541,41.10897434818627
425,425,-77.20101181516455,41.11666094109265
426,426,-77.20249790900442,41.076024658389414
427,427,-77.21893136512195,41.08859018865494
428,428,-77.25301481310916,41.109126046808804
429,429,-77.22838111942384,41.13926042632271
430,430,-77.26935519109574,41.07496404030258
431,431,-77.31175784093678,41.036131211230376
432,432,-77.49519766322068,41.032703803765976
433,433,-77.46667756534724,41.181954865990946
434,434,-77.40011846867327,41.10210113932202
435,435,-77.35230475827618,41.18702711912558
436,436,-77.27324768627221,41.16783268931004
437,437,-77.53815052559936,41.291082894380814
438,438,-77.77110233575453,41.22339916122752
439,439,-77.63102212843584,41.18081770408624
440,440,-77.68391821058975,41.05135130925791
441,441,-77.93028622107437,41.06440912753137
442,442,-77.0239542516059,41.47835446977744
443,443,-76.9815895396445,41.405707319279514
444,444,-77.17781835230568,41.38268491962693
445,445,-77.3797031576654,41.36420391067476
446,446,-77.23170884012858,41.29238361801634
447,447,-77.32947280421793,41.276599092440264
448,448,-77.28071482667637,41.252563548315585
449,449,-77.2392472372133,41.226955411308694
450,450,-77.19631369376475,41.22309041027538
451,451,-77.20103054218937,41.2594140359385
452,452,-77.1551178424913,41.27317139266947
453,453,-77.20740681059402,41.306034265199656
454,454,-77.12291095315969,41.30159343565568
455,455,-77.07847217474703,41.28445334861074
456,456,-77.00388918231904,41.22249790719625
457,457,-77.10651558895634,41.2027866306101
458,458,-77.10046733673362,41.23501276655948
459,459,-77.16880745008535,41.22749827635543
460,460,-77.15256745131033,41.20748683400543
461,461,-77.14142983321753,41.17573212998799
462,462,-77.15883819714674,41.19325436390681
463,463,-77.19717496518398,41.191616714035526
464,464,-77.19983233370225,41.156851875850364
465,465,-77.17100886177717,41.16356629231876
466,466,-77.12414839083594,41.14064988844904
467,467,-77.14950952135386,41.12916077052157
468,468,-77.17824378973992,41.13167731117907
469,469,-77.17347092788359,41.116567172448626
470,470,-77.16616958916961,41.10381376261208
471,471,-77.12635167847995,41.094157685336064
472,472,-77.10730066504415,41.103623734775894
473,473,-77.09229592444822,41.15628814744644
474,474,-77.04822903593075,41.12713131797166
475,475,-77.06998657557375,41.09993432702653
476,476,-77.07557725905798,41.06321167499056
477,477,-77.10545750845695,41.04834431690741
478,478,-77.03614091594817,41.048981243625235
479,479,-77.0340241498927,41.0147747145473
480,480,-77.05892380911608,41.00140117940658
481,481,-77.03380012937284,40.99633993787376
482,482,-77.02227015006599,40.963381513785954
483,483,-77.00232107952041,40.98468552746313
484,484,-76.97993200390275,40.99532375987816
485,485,-77.00398661080673,41.03035226277287
486,486,-76.97109752403532,41.03061921140311
487,487,-76.92872899885094,41.01177471605809
488,488,-76.92409360797849,41.05183397765099
489,489,-76.95090237468176,41.071558880263936
490,490,-76.99314567446264,41.0943003216838
491,491,-76.90149718375602,41.08100864410943
492,492,-76.83844580918641,41.06204994657219
493,493,-76.85810509978705,41.16339008527424
494,494,-76.83201335166768,41.2917995288585
495,495,-76.61112575056691,41.21664989797295
496,496,-76.79484541082631,41.43572852716425
497,497,-76.91276582853416,41.372628664824276
498,498,-76.36185117233057,40.94696714270962
499,499,-76.47580041169263,40.96456379259049
500,500,-76.42408376051227,41.08273014329712
501,501,-76.62599682314654,41.09639419728667
502,502,-76.55530061933715,40.991544912127985
503,503,-76.53637998907254,40.90781493860387
504,504,-76.62354182934821,40.943836821108185
505,505,-76.72821490463782,41.02035083842471
506,506,-76.62056134771875,41.02734933879795
507,507,-76.8081095050315,40.98157175167332
508,508,-76.77555848576255,40.93962481319187
509,509,-76.8514705598279,40.95393226562297
510,510,-76.86479021925479,41.01788245886838
511,511,-76.88963365201252,40.983796089463695
512,512,-76.93380615038114,40.97468807221391
513,513,-76.9550056067467,40.95107030370778
514,514,-76.99022472851863,40.963765905605754
515,515,-76.95859068902963,40.92575175946998
516,516,-76.93190694848778,40.94420443290963
517,517,-76.91322739251505,40.93328709640307
518,518,-76.93185211252072,40.900874869120976
519,519,-76.91795475445548,40.87982274550176
520,520,-76.90421376805124,40.86708309576602
521,521,-76.8810702019189,40.87273113801082
522,522,-76.85296605080711,40.89006030550354
523,523,-76.88112497688905,40.91818754653668
524,524,-76.82688579262056,40.920635408049854
525,525,-76.79448504370538,40.90570580179072
526,526,-76.8060658525287,40.86121528304898
527,527,-76.88727294183643,40.84722201783996
528,528,-76.89881377365788,40.841188737705416
529,529,-76.87772842749695,40.829405641810666
530,530,-76.84795300876026,40.83457682275623
531,531,-76.81792046389798,40.80491626075177
532,532,-76.7958616842483,40.77465645581182
533,533,-76.6993655197679,40.794313107350945
534,534,-76.74291513839017,40.84957331172334
535,535,-76.70946772703462,40.895891045298164
536,536,-76.64032294231006,40.852857893339824
537,537,-76.59289873591493,40.89730494666804
538,538,-76.51664416451924,40.85106469069562
539,539,-76.56869280511708,40.765406077991585
540,540,-76.57668432937223,40.71823244875497
541,541,-76.64640347679136,40.72933696277046
542,542,-76.6413600683488,40.772025602783195
543,543,-76.7128404067672,40.75296620973435
544,544,-76.7742520122463,40.73225385308831
545,545,-76.69946350498508,40.7127291995391
546,546,-76.68982768683819,40.67287459116844
547,547,-76.64524349329754,40.64647968145516
548,548,-76.60471432968637,40.65990938503389
