link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,VDF_fftt,VDF_toll_auto,link_type_name,from_biway,vdf_free_speed_in_mph,is_link
2759,East Mandalay Bay Road,1032842619,1843,1795,1,"LINESTRING (-115.1716706 36.093519, -115.1715125 36.0935187, -115.1712913 36.0935684)",1,34.83,secondary,4,60,3,4800,,,0,0.15,4,1,0.021646986,37.2823642,35,0.03483,,,,,,,,,,
2760,Flight Path Avenue,651364711,1844,731,1,"LINESTRING (-115.1329246 36.086811, -115.1324707 36.0868027, -115.1320427 36.0867841)",1,79.31,secondary,4,60,2,3200,,,0,0.15,4,1,0.049291485,37.2823642,35,0.07931,,,,,,,,,,
2761,,594568345,1844,1036,1,"LINESTRING (-115.1329246 36.086811, -115.1326472 36.0867401, -115.1324432 36.0866717, -115.1321402 36.0865591)",1,75.96,secondary,4,60,2,3200,,,0,0.15,4,1,0.047209447,37.2823642,35,0.07596,,,,,,,,,,
2762,,594617860,1845,1221,1,"LINESTRING (-115.1718007 36.0711992, -115.1720019 36.0712405, -115.1720728 36.0712551, -115.1721601 36.0713012, -115.1722366 36.0713608, -115.1723193 36.0714377)",1,55.48,primary,3,80,1,1800,,,0,0.15,4,1,0.034481044,49.70981893,50,0.04161,,,,,,,,,,
2763,East Sunset Road,648931317,1845,4173,1,"LINESTRING (-115.1718007 36.0711992, -115.172301 36.0711991)",1,44.97,primary,3,80,4,7200,,,0,0.15,4,1,0.027949037,49.70981893,50,0.0337275,,,,,,,,,,
2764,South Maryland Parkway,594769561,1846,4075,1,"LINESTRING (-115.1368374 36.1002331, -115.1368405 36.1005689, -115.1368435 36.100892)",1,73.27,secondary,4,60,5,8000,,,0,0.15,4,1,0.045537601,37.2823642,35,0.07327,,,,,,,,,,
2765,South Maryland Parkway,594769562,1848,1849,1,"LINESTRING (-115.1368025 36.0964501, -115.1368054 36.0967655, -115.1368074 36.0969816)",1,59.1,secondary,4,60,3,4800,,,0,0.15,4,1,0.036730889,37.2823642,35,0.0591,,,,,,,,,,
2766,South Maryland Parkway,1092266607,1849,2188,1,"LINESTRING (-115.1368074 36.0969816, -115.1368105 36.0973171)",1,37.31,secondary,4,60,3,4800,,,0,0.15,4,1,0.023188316,37.2823642,35,0.03731,,,,,,,,,,
2767,South Maryland Parkway,1092266606,1850,3834,1,"LINESTRING (-115.1367915 36.0952621, -115.1367927 36.0953894, -115.1367948 36.0956192, -115.1367959 36.0957415)",1,53.31,secondary,4,60,4,6400,,,0,0.15,4,1,0.03313238,37.2823642,35,0.05331,,,,,,,,,,
2768,,596463688,1851,1282,1,"LINESTRING (-115.1730625 36.0954121, -115.1727845 36.0954132)",1,24.98,primary,3,80,3,5400,,,0,0.15,4,1,0.015525171,49.70981893,50,0.018735,,,,,,,,,,
