name,node_id,zone_id,node_type,control_type,x_coord,y_coord,Centroid,geometry,old_node_id,osm_node_id,is_boundary,activity_type,poi_id,notes,boundary_status
,50078,,,,-112.1992435,33.7122578,,POINT (-112.1992435 33.7122578),46630.0,4408247130.0,0.0,secondary,,,inside
,50079,,,,-112.1995866,33.7123347,,POINT (-112.1995866 33.7123347),46631.0,1084599413.0,0.0,secondary,,,inside
,50085,,,,-112.202052,33.7122991,,POINT (-112.202052 33.7122991),46637.0,4347923882.0,0.0,secondary,,,inside
,50086,,,,-112.2021347,33.7122974,,POINT (-112.2021347 33.7122974),46638.0,1985256572.0,0.0,secondary,,,inside
,50087,,,,-112.2022489,33.7122962,,POINT (-112.2022489 33.7122962),46639.0,4347923881.0,0.0,secondary,,,inside
,50092,,,,-112.20091,33.7123198,,POINT (-112.20091 33.7123198),46644.0,1819696835.0,0.0,secondary,,,inside
,50093,,,,-112.2016384,33.7123068,,POINT (-112.2016384 33.7123068),46645.0,5151211921.0,0.0,secondary,,,inside
,50095,,,,-112.2014903,33.7121266,,POINT (-112.2014903 33.7121266),46647.0,5151211924.0,0.0,secondary,,,inside
,50156,,,,-112.030877,33.6550331,,POINT (-112.030877 33.6550331),46708.0,41618762.0,0.0,primary,,,inside
,50157,,,,-112.0229005,33.6550811,,POINT (-112.0229005 33.6550811),46709.0,4347925171.0,0.0,secondary,,,inside
,50158,,,,-112.022202,33.655084,,POINT (-112.022202 33.655084),46710.0,41996653.0,0.0,secondary,,,inside
,50159,,,,-112.0301925,33.6550379,,POINT (-112.0301925 33.6550379),46711.0,4178633382.0,0.0,secondary,,,inside
,50160,,,,-112.0299858,33.6550394,,POINT (-112.0299858 33.6550394),46712.0,2496909634.0,0.0,secondary,,,inside
,50161,,,,-112.0215084,33.6550869,,POINT (-112.0215084 33.6550869),46713.0,4347925172.0,0.0,secondary,,,inside
,50162,,,,-112.029659,33.6550417,,POINT (-112.029659 33.6550417),46714.0,2496909636.0,0.0,secondary,,,inside
,50163,,,,-112.0308349,33.6622861,,POINT (-112.0308349 33.6622861),46715.0,41618752.0,0.0,primary,,,inside
,50164,,,,-112.0308896,33.6617213,,POINT (-112.0308896 33.6617213),46716.0,4347925174.0,0.0,primary,,,inside
,50165,,,,-112.0307781,33.6626577,,POINT (-112.0307781 33.6626577),46717.0,4347925175.0,0.0,primary,,,inside
,50166,,,,-112.0309197,33.6609569,,POINT (-112.0309197 33.6609569),46718.0,2274242178.0,0.0,primary,,,inside
,50167,,,,-112.2031433,33.7130487,,POINT (-112.2031433 33.7130487),46719.0,4347926008.0,0.0,secondary,,,inside
,50168,,,,-112.203152,33.7133639,,POINT (-112.203152 33.7133639),46720.0,1985256612.0,0.0,secondary,,,inside
,50169,,,,-112.2031365,33.7128032,,POINT (-112.2031365 33.7128032),46721.0,4347926007.0,0.0,secondary,,,inside
,50173,,,,-112.2031531,33.7134624,,POINT (-112.2031531 33.7134624),46725.0,4347926009.0,0.0,secondary,,,inside
,50174,,,,-112.2031609,33.7141479,,POINT (-112.2031609 33.7141479),46726.0,1985256656.0,0.0,secondary,,,inside
,50182,50182.0,,,-112.2031183,33.7114924,,POINT (-112.2031183 33.7114924),46734.0,4347926006.0,0.0,secondary,,,boundary
,50183,,,,-111.987382,33.4073061,,POINT (-111.987382 33.4073061),46735.0,2288707814.0,0.0,secondary,,,inside
,50184,,,,-111.9815973,33.4073229,,POINT (-111.9815973 33.4073229),46736.0,41883604.0,0.0,secondary,,,inside
,50185,,,,-111.99536,33.4073025,,POINT (-111.99536 33.4073025),46737.0,41592384.0,0.0,secondary,,,inside
,50186,,,,-111.99434,33.407293,,POINT (-111.99434 33.407293),46738.0,4347927052.0,0.0,secondary,,,inside
,50187,,,,-111.9794959,33.4073237,,POINT (-111.9794959 33.4073237),46739.0,4347927053.0,0.0,secondary,,,inside
,50188,,,,-111.978976,33.4073253,,POINT (-111.978976 33.4073253),46740.0,4354767048.0,0.0,secondary,,,inside
,50189,,,,-111.9953703,33.4063935,,POINT (-111.9953703 33.4063935),46741.0,4347927051.0,0.0,secondary,,,inside
,50197,,,,-112.0613887,33.4657297,,POINT (-112.0613887 33.4657297),46749.0,4347920554.0,0.0,secondary,,,inside
,50198,,,,-112.060775,33.4657304,,POINT (-112.060775 33.4657304),46750.0,41649618.0,0.0,secondary,,,inside
,50199,,,,-112.0641045,33.4657246,,POINT (-112.0641045 33.4657246),46751.0,4347920551.0,0.0,secondary,,,inside
,50200,,,,-112.0659471,33.4657299,,POINT (-112.0659471 33.4657299),46752.0,4347920555.0,0.0,secondary,,,inside
,50201,,,,-112.073828,33.4657223,,POINT (-112.073828 33.4657223),46753.0,1675450191.0,0.0,secondary,,,inside
,50202,,,,-112.070431,33.46572,,POINT (-112.070431 33.46572),46754.0,4347920552.0,0.0,secondary,,,inside
,50203,,,,-112.0694062,33.4657176,,POINT (-112.0694062 33.4657176),46755.0,41649612.0,0.0,secondary,,,inside
,50204,,,,-112.0726766,33.465724,,POINT (-112.0726766 33.465724),46756.0,4347920558.0,0.0,secondary,,,inside
,50205,,,,-112.0788425,33.4657821,,POINT (-112.0788425 33.4657821),46757.0,4347920560.0,0.0,secondary,,,inside
,50206,,,,-112.0797235,33.4657904,,POINT (-112.0797235 33.4657904),46758.0,4347920561.0,0.0,secondary,,,inside
,50207,,,,-112.0749076,33.4657349,,POINT (-112.0749076 33.4657349),46759.0,4347920557.0,0.0,secondary,,,inside
