link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,vdf_length_mi,facility_type,link_type,free_speed,vdf_free_speed_mph,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,free_speed_in_mph_raw,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,vdf_fftt,is_link,from_biway,link_type_name,boundary_status
4687,East Marketplace Southeast,5591314,3954,3953,1,"LINESTRING (-112.0583977 33.3024934, -112.0581261 33.3023706)",1,28.7,0.017833348,tertiary,5,40,24.85490947,2,2400,,,0,0.15,4,1,25,,,,,,,,,inside
4688,East Marketplace Southeast,198081787,3954,20040,1,"LINESTRING (-112.0583977 33.3024934, -112.0585659 33.3025776)",1,18.22,0.01132138,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4689,East Marketplace Southeast,5591317,3955,3956,1,"LINESTRING (-112.0524587 33.304447, -112.0525538 33.3042989, -112.0526296 33.3042156, -112.0526548 33.3041866, -112.0526869 33.3041552, -112.052756 33.3040867, -112.0527893 33.3040538, -112.05293 33.3039355, -112.0530723 33.3038423, -112.0533563 33.3036817, -112.0538719 33.3034038, -112.0540291 33.3032981, -112.054147 33.3032077, -112.054264 33.303076, -112.0544352 33.3028656, -112.0546288 33.3026149, -112.0547454 33.3024553, -112.0548824 33.3023105, -112.0550286 33.3021948, -112.055171 33.3020942, -112.0553331 33.30202, -112.0554599 33.3019772)",1,398.47,0.247597702,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4690,East Marketplace Southeast,538742404,3955,83239,1,"LINESTRING (-112.0524587 33.304447, -112.0523992 33.3045718, -112.0523566 33.3046893, -112.0523002 33.3048755, -112.0522954 33.3048944, -112.052283 33.3049598)",1,59.46,0.03694672,tertiary,5,40,24.85490947,2,2400,,,0,0.15,4,1,25,,,,,,,,,inside
4691,East Marketplace Southeast,5591317,3956,3955,1,"LINESTRING (-112.0554599 33.3019772, -112.0553331 33.30202, -112.055171 33.3020942, -112.0550286 33.3021948, -112.0548824 33.3023105, -112.0547454 33.3024553, -112.0546288 33.3026149, -112.0544352 33.3028656, -112.054264 33.303076, -112.054147 33.3032077, -112.0540291 33.3032981, -112.0538719 33.3034038, -112.0533563 33.3036817, -112.0530723 33.3038423, -112.05293 33.3039355, -112.0527893 33.3040538, -112.052756 33.3040867, -112.0526869 33.3041552, -112.0526548 33.3041866, -112.0526296 33.3042156, -112.0525538 33.3042989, -112.0524587 33.304447)",1,398.47,0.247597702,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4692,East Marketplace Southeast,1078673145,3956,74623,1,"LINESTRING (-112.0554599 33.3019772, -112.0555864 33.3019332, -112.0557942 33.3018903, -112.0560525 33.301872, -112.0562154 33.3018761, -112.0564118 33.3018975, -112.0567734 33.3019515, -112.0569767 33.3019954, -112.0570963 33.3020212, -112.0572632 33.302059, -112.0573243 33.3020734)",1,177.37,0.110212574,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4694,,436895689,3958,24844,1,"LINESTRING (-111.9434048 33.4673578, -111.9435274 33.4673611)",1,11.38,0.007071202,secondary,4,60,37.2823642,1,1600,,,0,0.15,4,1,35,,,,,,,,,cross_boundary
4696,East Marketplace Southwest,5591735,3960,3961,1,"LINESTRING (-112.0574623 33.3021119, -112.0575475 33.3021389, -112.0577663 33.3022181, -112.058018 33.3023155)",1,56.4,0.035045324,tertiary,5,40,24.85490947,2,2400,,,0,0.15,4,1,25,,,,,,,,,inside
4697,East Marketplace Southwest,538742405,3960,74623,1,"LINESTRING (-112.0574623 33.3021119, -112.0573243 33.3020734)",1,13.52,0.008400936,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4698,East Marketplace Southwest,538742793,3961,3953,1,"LINESTRING (-112.058018 33.3023155, -112.0580658 33.3023399, -112.0581261 33.3023706)",1,11.77,0.007313537,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
