link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,vdf_free_speed_in_mph,from_biway
12350,14th Street Northwest,1212569765,7465,8039,1,"LINESTRING (-77.0327182 38.931181, -77.0327176 38.9307706)",1,45.63,secondary,4,60,1,1600,,,0,0.15,4,1,0.028359229,37.2823642,35,0.04563,,,,,,,,
12351,14th Street Northwest,944082204,7465,8285,1,"LINESTRING (-77.0327182 38.931181, -77.0327182 38.9312197, -77.0327182 38.9312488)",1,7.54,secondary,4,60,1,1600,,,0,0.15,4,1,0.00468614,37.2823642,35,0.00754,,,,,,,,
12352,14th Street Northwest,1111094163,7468,7845,1,"LINESTRING (-77.0327229 38.9318685, -77.0327181 38.9320136, -77.0327194 38.9324399, -77.0327189 38.932482, -77.0327208 38.9331202, -77.03272 38.9331708)",1,144.82,secondary,4,60,1,1600,,,0,0.15,4,1,0.090006215,37.2823642,35,0.14482,,,,,,,,
12353,14th Street Northwest,944082205,7468,8285,1,"LINESTRING (-77.0327229 38.9318685, -77.0327229 38.9318149, -77.0327194 38.9314618, -77.0327183 38.931346)",1,58.1,secondary,4,60,1,1600,,,0,0.15,4,1,0.036109385,37.2823642,35,0.0581,,,,,,,,
12354,14th Street Northwest,944082206,7469,7470,1,"LINESTRING (-77.0327149 38.929296, -77.0327315 38.929586)",1,32.28,secondary,4,60,1,1600,,,0,0.15,4,1,0.02006215,37.2823642,35,0.03228,,,,,,,,
12355,14th Street Northwest,944082207,7469,7471,1,"LINESTRING (-77.0327149 38.929296, -77.0327072 38.9291607)",1,15.06,secondary,4,60,1,1600,,,0,0.15,4,1,0.009359851,37.2823642,35,0.01506,,,,,,,,
12356,14th Street Northwest,1111094161,7470,630,1,"LINESTRING (-77.0327315 38.929586, -77.0327275 38.9297869)",1,22.34,secondary,4,60,1,1600,,,0,0.15,4,1,0.0138844,37.2823642,35,0.02234,,,,,,,,
12357,14th Street Northwest,944082206,7470,7469,1,"LINESTRING (-77.0327315 38.929586, -77.0327149 38.929296)",1,32.28,secondary,4,60,1,1600,,,0,0.15,4,1,0.02006215,37.2823642,35,0.03228,,,,,,,,
12358,14th Street Northwest,944082207,7471,7469,1,"LINESTRING (-77.0327072 38.9291607, -77.0327149 38.929296)",1,15.06,secondary,4,60,1,1600,,,0,0.15,4,1,0.009359851,37.2823642,35,0.01506,,,,,,,,
12359,14th Street Northwest,1212569767,7471,7473,1,"LINESTRING (-77.0327072 38.9291607, -77.0327051 38.9291445)",1,1.81,secondary,4,60,1,1600,,,0,0.15,4,1,0.001124922,37.2823642,35,0.00181,,,,,,,,
12360,Irving Street Northwest,944082208,7472,5244,1,"LINESTRING (-77.0370179 38.9287156, -77.0365982 38.9286938, -77.0364689 38.928687)",1,47.6,secondary,4,60,3,4800,,,0,0.15,4,1,0.029583592,37.2823642,35,0.0476,,,,,,,,
12361,14th Street Northwest,944082209,7473,2578,1,"LINESTRING (-77.0327051 38.9291445, -77.0326736 38.928892, -77.0326583 38.9287848)",1,40.2,secondary,4,60,1,1600,,,0,0.15,4,1,0.024984462,37.2823642,35,0.0402,,,,,,,,
12362,14th Street Northwest,1212569767,7473,7471,1,"LINESTRING (-77.0327051 38.9291445, -77.0327072 38.9291607)",1,1.81,secondary,4,60,1,1600,,,0,0.15,4,1,0.001124922,37.2823642,35,0.00181,,,,,,,,
12363,14th Street Northwest,944082212,7474,633,1,"LINESTRING (-77.032242 38.924756, -77.03222 38.924541, -77.0322129 38.9244739, -77.032193 38.924284, -77.0321691 38.9240345, -77.0321559 38.9238933, -77.0321361 38.9236816)",1,119.82,secondary,4,60,2,3200,,,0,0.15,4,1,0.074468614,37.2823642,35,0.11982,,,,,,,,
12364,14th Street Northwest,1379614193,7474,8273,1,"LINESTRING (-77.032242 38.924756, -77.0322474 38.9248172, -77.0322867 38.9252083)",1,50.44,secondary,4,60,1,1600,,,0,0.15,4,1,0.031348664,37.2823642,35,0.05044,,,,,,,,
12365,Sherman Avenue Northwest,949346659,7475,3150,1,"LINESTRING (-77.025173 38.9201354, -77.0251888 38.9203193)",1,20.49,secondary,4,32,1,1600,,,0,0.15,4,1,0.012734618,19.88392757,20,0.03841875,,,,,,,,
12366,Sherman Avenue Northwest,1123574481,7475,6869,1,"LINESTRING (-77.025173 38.9201354, -77.0251668 38.9200636, -77.0251559 38.9199546)",1,20.16,secondary,4,32,1,1600,,,0,0.15,4,1,0.012529521,19.88392757,20,0.0378,,,,,,,,
12367,Florida Avenue Northwest,949347933,7476,6869,1,"LINESTRING (-77.0256475 38.9202163, -77.0255358 38.9200867, -77.0255092 38.9200561, -77.0254807 38.9200308, -77.0254523 38.9200091, -77.0254191 38.9199908, -77.0253807 38.9199745, -77.0253455 38.9199644, -77.025304 38.919955, -77.0252599 38.9199515, -77.0252387 38.9199514, -77.0252196 38.9199513, -77.0251559 38.9199546)",1,55.78,secondary,4,40,2,3200,,,0,0.15,4,1,0.034667495,24.85490947,25,0.08367,,,,,,,,
12368,Florida Avenue Northwest,1050686818,7476,7700,1,"LINESTRING (-77.0256475 38.9202163, -77.0256609 38.920232, -77.0258395 38.9204343, -77.0258644 38.9204565, -77.0259145 38.920497)",1,38.91,secondary,4,40,1,1600,,,0,0.15,4,1,0.024182722,24.85490947,25,0.058365,,,,,,,,
12369,Eastern Avenue Northeast,950098527,7477,3929,1,"LINESTRING (-76.9317372 38.9103775, -76.9314062 38.9101174)",1,40.7,secondary,4,60,2,3200,,,0,0.15,4,1,0.025295214,37.2823642,35,0.0407,,,,,,,,
12370,Eastern Avenue Northeast,950098528,7477,3934,1,"LINESTRING (-76.9317372 38.9103775, -76.9320933 38.9106572)",1,43.78,secondary,4,60,2,3200,,,0,0.15,4,1,0.027209447,37.2823642,35,0.04378,,,,,,,,
12371,South Capitol Street Southeast,1181205309,7478,8001,1,"LINESTRING (-77.0084449 38.843692, -77.008316 38.8449997)",1,145.84,primary,3,64,2,3600,,,0,0.15,4,1,0.090640149,39.76785515,40,0.136725,,,,,,,,
12372,South Capitol Street Southeast,952925517,7479,2335,1,"LINESTRING (-77.0090666 38.8389534, -77.0090773 38.8390378, -77.0090794 38.8391211, -77.009073 38.8392242, -77.009061 38.8393234, -77.009044 38.8394317, -77.0090195 38.8395347, -77.0089897 38.8396389, -77.0089588 38.8397405, -77.0088315 38.8401836, -77.008803 38.8402841, -77.0087839 38.8403703, -77.0087668 38.8404617, -77.0087479 38.8405936, -77.0087331 38.8407261, -77.0085858 38.8422934, -77.0085639 38.8424967, -77.0085401 38.8427157, -77.0085168 38.8429269)",1,445.43,primary,3,64,2,3600,,,0,0.15,4,1,0.276836544,39.76785515,40,0.417590625,,,,,,,,
12373,North Capitol Street Northeast,954659483,7480,3600,1,"LINESTRING (-77.0090067 38.9104988, -77.0090074 38.9106427, -77.0090077 38.9106927)",1,21.56,primary,3,80,3,5400,,,0,0.15,4,1,0.013399627,49.70981893,50,0.01617,,,,,,,,
12374,North Capitol Street Northwest,1320069050,7481,8365,1,"LINESTRING (-77.0090955 38.9099997, -77.0090927 38.9097248, -77.0090921 38.909637)",1,40.33,primary,3,80,3,5400,,,0,0.15,4,1,0.025065258,49.70981893,50,0.0302475,,,,,,,,
12375,,954968196,7482,7483,1,"LINESTRING (-77.008227 38.8394303, -77.0081951 38.839524, -77.0081689 38.8396176, -77.0081463 38.8396961, -77.0081205 38.8397947, -77.008094 38.8399054, -77.0079685 38.8404805, -77.0077394 38.8415042, -77.0076674 38.8417312)",1,260.5,motorway,1,120,1,2300,,,0,0.15,4,1,0.161901802,74.5647284,75,0.13025,,,,,,,,
12376,,1133083737,7483,7944,1,"LINESTRING (-77.0076674 38.8417312, -77.0076037 38.8419803, -77.0075413 38.842229, -77.0074927 38.8423955, -77.0074642 38.8424914, -77.0074379 38.8425704, -77.0074034 38.8426605, -77.0073689 38.8427401, -77.0073302 38.8428213, -77.007289 38.8428996, -77.0072484 38.8429689, -77.0072026 38.8430418, -77.0071494 38.8431136)",1,160.98,secondary,4,60,2,3200,,,0,0.15,4,1,0.10004972,37.2823642,35,0.16098,,,,,,,,
12377,14th Street Northwest,957439449,7484,8471,1,"LINESTRING (-77.0333948 38.9616032, -77.0333935 38.9618577, -77.0333988 38.961881, -77.0334212 38.9619814)",1,42.26,tertiary,5,40,1,1200,,,0,0.15,4,1,0.026264761,24.85490947,25,0.06339,,,,,,,,
12378,Potomac Avenue Southeast,957908576,7485,1366,1,"LINESTRING (-77.0079433 38.8711462, -77.0078642 38.8711788, -77.0074622 38.8713426, -77.0073209 38.8714018)",1,60.92,tertiary,5,40,1,1200,,,0,0.15,4,1,0.037862026,24.85490947,25,0.09138,,,,,,,,
12379,Potomac Avenue Southeast,985356414,7485,7529,1,"LINESTRING (-77.0079433 38.8711462, -77.0081768 38.8710728, -77.0082495 38.8710536, -77.0083263 38.8710361, -77.0083957 38.8710228)",1,41.56,tertiary,5,40,2,2400,,,0,0.15,4,1,0.025829708,24.85490947,25,0.06234,,,,,,,,
12380,,,7486,82,,"LINESTRING (-77.0139752 38.9032085, -77.01364864493996 38.90414384659353)",1,107.6306646,,0,90,1,99999,,,0,0.15,4,1,0.066892893,,55,0.071753776,,,,,0,connector,55.9235463,1
12381,New Jersey Avenue Northwest,1130915073,7486,4770,1,"LINESTRING (-77.0139752 38.9032085, -77.0138636 38.9029078)",1,34.8,secondary,4,60,1,1600,,,0,0.15,4,1,0.021628341,37.2823642,35,0.0348,,,,,,,,
12382,New Jersey Avenue Northwest,961511394,7486,7487,1,"LINESTRING (-77.0139752 38.9032085, -77.0141046 38.9035583, -77.0141305 38.9036288, -77.014171 38.9037389, -77.014207 38.9038353, -77.0143219 38.9041458, -77.0144892 38.9046049, -77.0145147 38.9046748)",1,169.6,secondary,4,60,1,1600,,,0,0.15,4,1,0.105407085,37.2823642,35,0.1696,,,,,,,,
12383,New Jersey Avenue Northwest,1052360209,7487,6122,1,"LINESTRING (-77.0145147 38.9046748, -77.0145412 38.9047446, -77.0146288 38.9049755)",1,34.86,secondary,4,60,2,3200,,,0,0.15,4,1,0.021665631,37.2823642,35,0.03486,,,,,,,,
12384,New Jersey Avenue Northwest,961511394,7487,7486,1,"LINESTRING (-77.0145147 38.9046748, -77.0144892 38.9046049, -77.0143219 38.9041458, -77.014207 38.9038353, -77.014171 38.9037389, -77.0141305 38.9036288, -77.0141046 38.9035583, -77.0139752 38.9032085)",1,169.6,secondary,4,60,1,1600,,,0,0.15,4,1,0.105407085,37.2823642,35,0.1696,,,,,,,,
