link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,vdf_free_speed_in_mph,from_biway,is_link
20602,,274444609,10812,11239,1,"LINESTRING (-122.0140181 47.6166249, -122.0139744 47.6166079, -122.0139255 47.6165994, -122.0138751 47.6166001, -122.0138268 47.6166099)",1,15.13,tertiary,5,40,2,2400,,,0,0.15,4,1,0.009403356,24.85490947,25,0.022695,,,,,,,,
20603,244th Avenue Northeast,626660381,10813,22490,1,"LINESTRING (-122.0139808 47.6164773, -122.0139768 47.6163804, -122.0139773 47.6156418, -122.0139776 47.6151708, -122.0139778 47.6149828, -122.0139994 47.6148087)",1,185.61,tertiary,5,40,2,2400,,,0,0.15,4,1,0.115357365,24.85490947,25,0.278415,,,,,,,,
20604,Southwest Admiral Way,679178608,10814,6714,1,"LINESTRING (-122.4077554 47.5761747, -122.4068005 47.5766264, -122.4061845 47.5769378, -122.4060467 47.5769891, -122.405921 47.5770306, -122.4058114 47.5770586, -122.4056754 47.5770844, -122.4055344 47.5770998, -122.4053698 47.577104, -122.4052998 47.577105, -122.405056 47.5771009, -122.4041801 47.5770844, -122.4040514 47.5770844, -122.4039226 47.5770902, -122.4038368 47.577096, -122.4037621 47.5771085, -122.4036848 47.5771259, -122.4036219 47.5771444, -122.403566 47.5771676)",1,347.02,secondary,4,40,1,1600,,,0,0.15,4,1,0.215674332,24.85490947,25,0.52053,,,,,,,,
20605,Southwest Admiral Way,244224153,10814,8276,1,"LINESTRING (-122.4077554 47.5761747, -122.4078471 47.5761289, -122.4080228 47.57605, -122.4081288 47.5760027)",1,33.93,secondary,4,40,1,1600,,,0,0.15,4,1,0.021087632,24.85490947,25,0.050895,,,,,,,,
20606,Northeast 117th Street,590771908,10815,1581,1,"LINESTRING (-122.3279291 47.7140482, -122.3279822 47.7140556, -122.3280431 47.7140629, -122.3281098 47.7140686)",1,13.72,tertiary,5,40,1,1200,,,0,0.15,4,1,0.008527035,24.85490947,25,0.02058,,,,,,,,
20607,Northeast 117th Street,244249178,10815,5039,1,"LINESTRING (-122.3279291 47.7140482, -122.3278768 47.7140385, -122.3278287 47.7140276, -122.3277645 47.71401, -122.3277137 47.7139932, -122.3276514 47.7139704, -122.3275874 47.7139445, -122.3275383 47.7139196, -122.3274873 47.713893, -122.3274379 47.7138627, -122.3273952 47.7138326, -122.3273483 47.713796, -122.327311 47.7137638, -122.3272792 47.7137341, -122.3272457 47.7136987, -122.3272158 47.7136642, -122.3271875 47.7136265)",1,75.01,tertiary,5,40,1,1200,,,0,0.15,4,1,0.046619018,24.85490947,25,0.112515,,,,,,,,
20608,South Massachusetts Street,244303611,10816,10817,1,"LINESTRING (-122.3105324 47.5884342, -122.3105008 47.5884339, -122.3097712 47.5884271)",1,57.09,tertiary,5,40,2,2400,,,0,0.15,4,1,0.035481666,24.85490947,25,0.085635,,,,,,,,
20609,17th Avenue South,1115898264,10816,13082,1,"LINESTRING (-122.3105324 47.5884342, -122.3105326 47.5884097, -122.310547 47.5878062, -122.3105482 47.5877643)",1,74.5,tertiary,5,40,2,2400,,,0,0.15,4,1,0.046302051,24.85490947,25,0.11175,,,,,,,,
20610,South Massachusetts Street,244303611,10817,10816,1,"LINESTRING (-122.3097712 47.5884271, -122.3105008 47.5884339, -122.3105324 47.5884342)",1,57.09,tertiary,5,40,2,2400,,,0,0.15,4,1,0.035481666,24.85490947,25,0.085635,,,,,,,,
20611,South Massachusetts Street,820125414,10817,23690,1,"LINESTRING (-122.3097712 47.5884271, -122.3096067 47.5884256, -122.3094769 47.5884244)",1,22.07,tertiary,5,40,2,2400,,,0,0.15,4,1,0.013716594,24.85490947,25,0.033105,,,,,,,,
20612,South Mount Baker Boulevard,244306094,10818,9129,1,"LINESTRING (-122.2941907 47.5760094, -122.2947907 47.5760094, -122.2954104 47.5760095, -122.2961584 47.5760074, -122.2963504 47.5760069)",1,162.01,tertiary,5,40,1,1200,,,0,0.15,4,1,0.100689869,24.85490947,25,0.243015,,,,,,,,
20613,30th Avenue South,962754250,10818,22626,1,"LINESTRING (-122.2941907 47.5760094, -122.2941904 47.576068, -122.2941893 47.5763061)",1,32.99,tertiary,5,40,2,2400,,,0,0.15,4,1,0.020503418,24.85490947,25,0.049485,,,,,,,,
20614,Southeast 40th Street,244322295,10819,9287,1,"LINESTRING (-122.235007 47.5745714, -122.2342328 47.5745691, -122.2335546 47.5745671, -122.2332802 47.5745657, -122.2323713 47.5745636, -122.2322559 47.5745633, -122.2318518 47.5745621, -122.231399 47.5745608, -122.2310018 47.5745596, -122.2307863 47.574561, -122.2296426 47.5745693, -122.2283072 47.5745674, -122.2271129 47.5745641, -122.2269129 47.5745635)",1,607.19,tertiary,5,40,2,2400,,,0,0.15,4,1,0.377371038,24.85490947,25,0.910785,,,,,,,,
20615,Southeast 40th Street,456664947,10819,9568,1,"LINESTRING (-122.235007 47.5745714, -122.2377601 47.5745543, -122.2383642 47.5745353, -122.2390899 47.5745124, -122.2392181 47.5744994, -122.2394308 47.5744412)",1,333.34,tertiary,5,40,2,2400,,,0,0.15,4,1,0.207172157,24.85490947,25,0.50001,,,,,,,,
20616,78th Avenue Southeast,398440285,10819,9570,1,"LINESTRING (-122.235007 47.5745714, -122.2350631 47.5742411, -122.2350927 47.5737387, -122.2350587 47.5732646, -122.2350266 47.5731282, -122.234962 47.5730209, -122.2348753 47.5729308, -122.2346535 47.5727844, -122.2345921 47.5727439, -122.2344703 47.5726525, -122.234359 47.5725571, -122.2342764 47.572452, -122.2342057 47.5722732)",1,276.53,tertiary,5,40,2,2400,,,0,0.15,4,1,0.171864512,24.85490947,25,0.414795,,,,,,,,
20617,78th Avenue Southeast,456664945,10819,14869,1,"LINESTRING (-122.235007 47.5745714, -122.2349691 47.5748954, -122.2349588 47.5749839)",1,46.01,tertiary,5,40,2,2400,,,0,0.15,4,1,0.028595401,24.85490947,25,0.069015,,,,,,,,
20618,80th Avenue Southeast,244324917,10820,2886,1,"LINESTRING (-122.2317294 47.586697, -122.23173 47.5866053, -122.2317352 47.5864301, -122.2317351 47.5859864, -122.2317353 47.5859698, -122.2317369 47.5857765, -122.2317374 47.5857155, -122.2317381 47.5855926, -122.2317393 47.5854835)",1,134.94,tertiary,5,40,2,2400,,,0,0.15,4,1,0.083865755,24.85490947,25,0.20241,,,,,,,,
20619,Southeast 27th Street,398440293,10820,9566,1,"LINESTRING (-122.2317294 47.586697, -122.2315599 47.5866965, -122.2311946 47.5866955, -122.2309338 47.5866773, -122.2307075 47.5866431, -122.2304846 47.5865921, -122.23023 47.5865181, -122.2300916 47.5864775)",1,126.93,tertiary,5,40,2,2400,,,0,0.15,4,1,0.078887508,24.85490947,25,0.190395,,,,,,,,
20620,80th Avenue Southeast,344287113,10820,13166,1,"LINESTRING (-122.2317294 47.586697, -122.23173 47.5868271, -122.2317327 47.5870601)",1,40.38,tertiary,5,40,2,2400,,,0,0.15,4,1,0.025096333,24.85490947,25,0.06057,,,,,,,,
