link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
15289,1896,1897,1,79.54,0.04942386461168,45,27.96170364,0.1061586666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3062257 47.594503, -122.306245 47.5937874)"
14358,1897,41,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.306245 47.5937874, -122.30925409107144 47.59870051071427)"
15290,1897,1896,1,79.54,0.04942386461168,45,27.96170364,0.1061586666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.306245 47.5937874, -122.3062257 47.594503)"
15283,1897,1898,1,80.36,0.049933388989119996,45,27.96170364,0.1071973333333333,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.306245 47.5937874, -122.3062636 47.5930644)"
14266,1898,33,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.3062636 47.5930644, -122.30907336666672 47.587609897916685)"
15284,1898,1897,1,80.36,0.049933388989119996,45,27.96170364,0.1071973333333333,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3062636 47.5930644, -122.306245 47.5937874)"
15287,1898,1899,1,154.55,0.09603291772360001,45,27.96170364,0.2061066666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3062636 47.5930644, -122.3051703 47.5918868)"
14268,1899,33,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.3051703 47.5918868, -122.30907336666672 47.587609897916685)"
15285,1899,1645,1,85.33,0.05302160381336,45,27.96170364,0.113824,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3051703 47.5918868, -122.3040353 47.5918932)"
15288,1899,1898,1,154.55,0.09603291772360001,45,27.96170364,0.2061066666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3051703 47.5918868, -122.3062636 47.5930644)"
22870,1900,20,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.2603172 47.5107316, -122.25692209920628 47.50603475238095)"
22987,1900,1901,1,97.98,0.060881949392160004,45,27.96170364,0.130732,0,4,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.2603172 47.5107316, -122.2593872 47.510115)"
22973,1900,1902,1,165.6,0.1028990693952,45,27.96170364,0.2209013333333333,0,4,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.2603172 47.5107316, -122.2619047 47.5117628)"
