node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,resolution_type
633460,,-79.753443,43.689132,,,0,0.1,0.1,POINT (-79.753443 43.689132),Macro
464771,,-79.753384,34.200781,,,0,0.1,0.1,POINT (-79.753384 34.200781),Macro
464772,,-79.752951,36.07697,,,0,0.1,0.1,POINT (-79.752951 36.076970),Macro
464773,,-79.752935,35.9475,,,0,0.1,0.1,POINT (-79.752935 35.947500),Macro
464774,,-79.752898,34.839165,,,0,0.1,0.1,POINT (-79.752898 34.839165),Macro
633461,,-79.752719,43.387541,,,0,0.1,0.1,POINT (-79.752719 43.387541),Macro
464775,,-79.752648,34.892596,,,0,0.1,0.1,POINT (-79.752648 34.892596),Macro
633462,,-79.75254,43.689266,,,0,0.1,0.1,POINT (-79.752540 43.689266),Macro
464776,,-79.7525,37.477225,,,0,0.1,0.1,POINT (-79.752500 37.477225),Macro
464777,,-79.752261,40.12027,,,0,0.1,0.1,POINT (-79.752261 40.120270),Macro
633463,,-79.752211,43.387965,,,0,0.1,0.1,POINT (-79.752211 43.387965),Macro
464778,,-79.752099,34.201024,,,0,0.1,0.1,POINT (-79.752099 34.201024),Macro
633464,,-79.751907,43.868529,,,0,0.1,0.1,POINT (-79.751907 43.868529),Macro
633465,,-79.751757,43.689422,,,0,0.1,0.1,POINT (-79.751757 43.689422),Macro
633466,,-79.751631,43.388463,,,0,0.1,0.1,POINT (-79.751631 43.388463),Macro
633467,,-79.751288,43.239826,,,0,0.1,0.1,POINT (-79.751288 43.239826),Macro
633468,,-79.751071,43.389059,,,0,0.1,0.1,POINT (-79.751071 43.389059),Macro
464780,,-79.751048,34.017484,,,0,0.1,0.1,POINT (-79.751048 34.017484),Macro
464781,,-79.75096,40.12833,,,0,0.1,0.1,POINT (-79.750960 40.128330),Macro
633469,,-79.750889,43.239707,,,0,0.1,0.1,POINT (-79.750889 43.239707),Macro
633470,,-79.750849,47.582277,,,0,0.1,0.1,POINT (-79.750849 47.582277),Macro
633471,,-79.750752,43.689622,,,0,0.1,0.1,POINT (-79.750752 43.689622),Macro
633472,,-79.750626,43.38949,,,0,0.1,0.1,POINT (-79.750626 43.389490),Macro
464782,,-79.750426,36.07851,,,0,0.1,0.1,POINT (-79.750426 36.078510),Macro
633473,,-79.750066,43.389965,,,0,0.1,0.1,POINT (-79.750066 43.389965),Macro
464783,,-79.750065,41.407775,,,0,0.1,0.1,POINT (-79.750065 41.407775),Macro
633474,,-79.750011,43.869059,,,0,0.1,0.1,POINT (-79.750011 43.869059),Macro
633475,,-79.749924,43.868599,,,0,0.1,0.1,POINT (-79.749924 43.868599),Macro
633476,,-79.749803,43.689856,,,0,0.1,0.1,POINT (-79.749803 43.689856),Macro
633477,,-79.7495,43.868612,,,0,0.1,0.1,POINT (-79.749500 43.868612),Macro
633478,,-79.749325,43.390739,,,0,0.1,0.1,POINT (-79.749325 43.390739),Macro
633479,,-79.749014,43.391094,,,0,0.1,0.1,POINT (-79.749014 43.391094),Macro
464785,,-79.748189,36.079885,,,0,0.1,0.1,POINT (-79.748189 36.079885),Macro
633480,,-79.747827,43.8691,,,0,0.1,0.1,POINT (-79.747827 43.869100),Macro
633481,,-79.74758,43.868933,,,0,0.1,0.1,POINT (-79.747580 43.868933),Macro
633482,,-79.747564,43.868896,,,0,0.1,0.1,POINT (-79.747564 43.868896),Macro
464786,,-79.74732,33.959708,,,0,0.1,0.1,POINT (-79.747320 33.959708),Macro
464787,,-79.747133,40.123172,,,0,0.1,0.1,POINT (-79.747133 40.123172),Macro
464788,,-79.746834,39.393205,,,0,0.1,0.1,POINT (-79.746834 39.393205),Macro
