node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
433261,,-84.377025,39.470410,,,0,0.100000,0.100000,"POINT (-84.377025 39.470410)"
433262,,-84.376976,39.484698,,,0,0.100000,0.100000,"POINT (-84.376976 39.484698)"
433263,,-84.376938,42.239483,,,0,0.100000,0.100000,"POINT (-84.376938 42.239483)"
433264,,-84.376930,34.335040,,,0,0.100000,0.100000,"POINT (-84.376930 34.335040)"
433265,,-84.376929,34.359998,,,0,0.100000,0.100000,"POINT (-84.376929 34.359998)"
433266,,-84.376852,40.550016,,,0,0.100000,0.100000,"POINT (-84.376852 40.550016)"
433267,,-84.376805,39.239922,,,0,0.100000,0.100000,"POINT (-84.376805 39.239922)"
433268,,-84.376791,34.992042,,,0,0.100000,0.100000,"POINT (-84.376791 34.992042)"
433269,,-84.376703,39.476601,,,0,0.100000,0.100000,"POINT (-84.376703 39.476601)"
433270,,-84.376700,39.139734,,,0,0.100000,0.100000,"POINT (-84.376700 39.139734)"
433271,,-84.376588,33.622105,,,0,0.100000,0.100000,"POINT (-84.376588 33.622105)"
433272,,-84.376528,39.238765,,,0,0.100000,0.100000,"POINT (-84.376528 39.238765)"
433273,,-84.376499,39.139847,,,0,0.100000,0.100000,"POINT (-84.376499 39.139847)"
433274,,-84.376326,33.812610,,,0,0.100000,0.100000,"POINT (-84.376326 33.812610)"
433275,,-84.376226,39.471023,,,0,0.100000,0.100000,"POINT (-84.376226 39.471023)"
626481,,-84.376163,46.523841,,,0,0.100000,0.100000,"POINT (-84.376163 46.523841)"
433276,,-84.376098,39.476347,,,0,0.100000,0.100000,"POINT (-84.376098 39.476347)"
433277,,-84.375888,39.473475,,,0,0.100000,0.100000,"POINT (-84.375888 39.473475)"
433278,,-84.375843,34.991534,,,0,0.100000,0.100000,"POINT (-84.375843 34.991534)"
433279,,-84.375815,39.480777,,,0,0.100000,0.100000,"POINT (-84.375815 39.480777)"
626482,,-84.375812,46.524113,,,0,0.100000,0.100000,"POINT (-84.375812 46.524113)"
433280,,-84.375660,42.242130,,,0,0.100000,0.100000,"POINT (-84.375660 42.242130)"
433281,,-84.375604,39.139826,,,0,0.100000,0.100000,"POINT (-84.375604 39.139826)"
433282,,-84.375562,33.815367,,,0,0.100000,0.100000,"POINT (-84.375562 33.815367)"
433283,,-84.375516,34.997185,,,0,0.100000,0.100000,"POINT (-84.375516 34.997185)"
433284,,-84.375325,39.254133,,,0,0.100000,0.100000,"POINT (-84.375325 39.254133)"
433285,,-84.375270,39.139852,,,0,0.100000,0.100000,"POINT (-84.375270 39.139852)"
433286,,-84.375242,34.991104,,,0,0.100000,0.100000,"POINT (-84.375242 34.991104)"
433287,,-84.375177,39.480139,,,0,0.100000,0.100000,"POINT (-84.375177 39.480139)"
626483,,-84.375065,46.525585,,,0,0.100000,0.100000,"POINT (-84.375065 46.525585)"
433288,,-84.374510,42.237428,,,0,0.100000,0.100000,"POINT (-84.374510 42.237428)"
626484,,-84.374395,46.520989,,,0,0.100000,0.100000,"POINT (-84.374395 46.520989)"
626485,,-84.374360,46.520923,,,0,0.100000,0.100000,"POINT (-84.374360 46.520923)"
626486,,-84.374323,46.520900,,,0,0.100000,0.100000,"POINT (-84.374323 46.520900)"
433289,,-84.374305,43.005957,,,0,0.100000,0.100000,"POINT (-84.374305 43.005957)"
433290,,-84.374293,34.365615,,,0,0.100000,0.100000,"POINT (-84.374293 34.365615)"
626487,,-84.374285,46.520863,,,0,0.100000,0.100000,"POINT (-84.374285 46.520863)"
433291,,-84.374237,39.472299,,,0,0.100000,0.100000,"POINT (-84.374237 39.472299)"
433292,,-84.374176,30.443292,,,0,0.100000,0.100000,"POINT (-84.374176 30.443292)"
433293,,-84.374078,33.815527,,,0,0.100000,0.100000,"POINT (-84.374078 33.815527)"
626488,,-84.374069,46.521598,,,0,0.100000,0.100000,"POINT (-84.374069 46.521598)"
433294,,-84.374038,36.155542,,,0,0.100000,0.100000,"POINT (-84.374038 36.155542)"
433295,,-84.373994,40.553353,,,0,0.100000,0.100000,"POINT (-84.373994 40.553353)"
433296,,-84.373740,33.709955,,,0,0.100000,0.100000,"POINT (-84.373740 33.709955)"
626489,,-84.373544,46.526943,,,0,0.100000,0.100000,"POINT (-84.373544 46.526943)"
