ID,YardName,Polygon_WKT,Main_Direction
88,PARKERSBURG HIGH,"POLYGON ((-81.54289234368576 39.2603556402181, -81.54319697676979 39.25951165821949, -81.55680832005602 39.26425280298702, -81.54972578615298 39.26290776858302, -81.54289234368576 39.2603556402181))","((-81.54289234368576, 39.2603556402181), (-81.55680832005602, 39.264252802987016))"
89,YSIDRO YARD,"POLYGON ((-117.0274864265564 32.54403803010042, -117.0281319850875 32.54341904628992, -117.0321908869693 32.54828352171481, -117.0302238867015 32.5472620139989, -117.0274864265564 32.54403803010042))","((-117.02748642655637, 32.544038030100424), (-117.03219088696927, 32.54828352171481))"
90,DAIMLER,"POLYGON ((-90.47299108876318 38.5461158039444, -90.47262225106857 38.54738997933996, -90.4630962108445 38.55137906506395, -90.46814820551887 38.54681502936948, -90.47299108876318 38.5461158039444))","((-90.47299108876318, 38.5461158039444), (-90.4630962108445, 38.551379065063955))"
91,OTTUMWA (BJRY),"POLYGON ((-92.39581575493713 41.00875598835919, -92.40366825934439 41.00821269813734, -92.40462108311922 41.01038530597732, -92.40411432542923 41.01076276191127, -92.39581575493713 41.00875598835919))","((-92.39581575493713, 41.00875598835919), (-92.40462108311922, 41.010385305977316))"
92,14TH ST COACH,"POLYGON ((-87.63914201356836 41.85980962121862, -87.64112586122597 41.86063337063081, -87.63765066957797 41.86881102450964, -87.63657374566215 41.86144383321383, -87.63914201356836 41.85980962121862))","((-87.63914201356836, 41.859809621218616), (-87.63765066957797, 41.86881102450964))"
93,17TH ST YARD,"POLYGON ((-92.11290472587001 46.70813718579635, -92.11431205050592 46.71817205209523, -92.11129234115553 46.72872641688087, -92.11118595922652 46.71671184030754, -92.11290472587001 46.70813718579635))","((-92.11290472587001, 46.70813718579635), (-92.11129234115553, 46.72872641688087))"
94,18TH STREET,"POLYGON ((-96.37517348219914 42.50767682796084, -96.3735082124979 42.51454691331841, -96.36605300000431 42.52544360253638, -96.3665733158298 42.52249432882856, -96.37517348219914 42.50767682796084))","((-96.37517348219914, 42.50767682796084), (-96.36605300000431, 42.525443602536384))"
95,19TH STREET,"POLYGON ((-94.60380621754076 39.08686864037418, -94.60241558683062 39.09140271347763, -94.5945626938129 39.1039852896817, -94.59773388498103 39.09516302838571, -94.60380621754076 39.08686864037418))","((-94.60380621754076, 39.08686864037418), (-94.5945626938129, 39.1039852896817))"
96,22ND STREET YARD,"POLYGON ((-117.154411618583 32.69607858940993, -117.1614646417153 32.70050763304247, -117.1601356824493 32.70716072716374, -117.1474886584926 32.69666292546513, -117.154411618583 32.69607858940993))","((-117.16013568244931, 32.70716072716374), (-117.14748865849259, 32.696662925465134))"
97,28TH ST YARD,"POLYGON ((-92.11210423573739 46.68243727889578, -92.11453871061033 46.68456067668236, -92.11380018542739 46.70953330434997, -92.11123608073812 46.70128835353079, -92.11210423573739 46.68243727889578))","((-92.11210423573739, 46.68243727889578), (-92.1138001854274, 46.709533304349975))"
